team,country_abrv,fifa_rank,fifa_points,confederation
Brazil,BRA,1,1841.3,CONMEBOL
Belgium,BEL,2,1816.71,UEFA
Argentina,ARG,3,1773.88,CONMEBOL
France,FRA,4,1759.78,UEFA
England,ENG,5,1728.47,UEFA
Italy,ITA,6,1726.14,UEFA
Spain,ESP,7,1715.22,UEFA
Netherlands,NED,8,1694.51,UEFA
Portugal,POR,9,1676.56,UEFA
Denmark,DEN,10,1666.57,UEFA
Germany,GER,11,1650.21,UEFA
Croatia,CRO,12,1645.64,UEFA
Mexico,MEX,13,1644.89,CONCACAF
Uruguay,URU,14,1638.71,CONMEBOL
Switzerland,SUI,15,1635.92,UEFA
USA,USA,16,1627.48,CONCACAF
Colombia,COL,17,1611.04,CONMEBOL
Senegal,SEN,18,1584.38,CAF
Wales,WAL,19,1569.82,UEFA
Iran,IRN,20,1564.61,AFC
Serbia,SRB,21,1563.62,UEFA
Morocco,MAR,22,1563.5,CAF
Peru,PER,23,1561.01,CONMEBOL
Japan,JPN,24,1559.54,AFC
Sweden,SWE,25,1553.33,UEFA
